Week,Subject,Start Date,Start Time,End Date,End Time,All Day,Description,Location,,,,,Overview,Lecture,Lab,Reading
Week 10,Lab 10,12/12/2023,09:30am,12/12/2023,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab10,Usual Lab,,,,,,,,
Week 10,Reading 10,12/12/2023,5:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw10,,,,,,,,,
,Winter break,,,,,,,,,,,,,,,
Week 11,Week 11 overview,08/01/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week11,,,,,,,,,
Week 11,Lecture 11,08/01/2024,11:00am,08/01/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture11,IGLT,,,,,,,,
Week 11,Lab 11,09/01/2024,09:30am,09/01/2024,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab11,Usual Lab,,,,,,,,
Week 11,Reading 11,09/01/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw11,,,,,,,,,
Week 12,Week 12 overview,15/01/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week12,,,,,,,,,
Week 12,Lecture 12,15/01/2024,11:00am,15/01/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture12,IGLT,,,,,,,,
Week 12,Lab 12,16/01/2024,09:30am,16/01/2024,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab12,Usual Lab,,,,,,,,
Week 12,Reading 12,16/01/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw12,,,,,,,,,
Week 13,Week 13 overview,22/01/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week13,,,,,,,,,
Week 13,Lecture 13,22/01/2024,11:00am,22/01/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture13,IGLT,,,,,,,,
Week 13,Lab 13,23/01/2024,09:30am,23/01/2024,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab13,Usual Lab,,,,,,,,
Week 13,Reading 13,23/01/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw13,,,,,,,,,
Week 14,Week 14 overview,29/01/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week14,,,,,,,,,
Week 14,Lecture 14,29/01/2024,11:00am,29/01/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture14,IGLT,,,,,,,,
Week 14,Lab 14,30/01/2024,09:30am,30/01/2024,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab14,Usual Lab,,,,,,,,
Week 14,Reading 14,30/01/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw14,,,,,,,,,
Week 15,Week 15 overview,05/02/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week15,,,,,,,,,
Week 15,Lecture 15,05/02/2024,11:00am,05/02/2024,12:00pm,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture15,IGLT,,,,,,,,
Week 15,Lab 15,06/02/2024,09:30am,06/02/2024,11:30am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab15,Usual Lab,,,,,,,,
Week 15,Reading 15,06/02/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw15,,,,,,,,,
,Reading week,,,,,,,,,,,,,,,
Week 16,Week 16 overview,19/02/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week16,,,,,,,,,
Week 16,Lecture 16,19/02/2024,10:00am,19/02/2024,11:30am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture16,IGLT,,,,,,,,
Week 16,Lab 16,20/02/2024,09:30am,20/02/2024,12:00 am,FALSE,Lab 1 is here \n https://littlemonkeylab.com/researchmethods/lab16,Usual Lab,,,,,,,,
Week 16,Reading 16,20/02/2024,05:00pm,,,FALSE,Only extras! \n https://littlemonkeylab.com/researchmethods/hw16,,,,,,,,,
Week 17,Week 17 overview,26/02/2024,09:00am,,,FALSE,Week 1 is for real \n https://littlemonkeylab.com/researchmethods/week17,,,,,,,,,
Week 17,Lecture 17,26/02/2024,10:00am,26/02/2024,11:30am,FALSE,Lecture 1 is about shit \n https://littlemonkeylab.com/researchmethods/lecture17,IGLT,,,,,,,,
